epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,23.1976,0.91707,1.99128,1.31239,0.78715,0.48333,0.54923,0.25506,1.61191,2.02533,1.38567,2.75753e-05,2.75753e-05,2.75753e-05
67,23.538,0.7798,0.88947,1.18122,0.78715,0.48333,0.54923,0.25506,1.61191,2.02533,1.38567,2.7222e-05,2.7222e-05,2.7222e-05
68,23.8737,0.64683,0.79424,1.04592,0.78715,0.48333,0.54923,0.25506,1.61191,2.02533,1.38567,2.68451e-05,2.68451e-05,2.68451e-05
69,24.2227,0.75143,0.7043,1.2983,0.78703,0.48333,0.55085,0.25232,1.67268,2.0671,1.40854,2.64447e-05,2.64447e-05,2.64447e-05
70,24.5569,0.94403,1.06577,1.37316,0.78703,0.48333,0.55085,0.25232,1.67268,2.0671,1.40854,2.60207e-05,2.60207e-05,2.60207e-05
71,24.8883,0.68896,0.72826,1.16089,0.78703,0.48333,0.55085,0.25232,1.67268,2.0671,1.40854,2.55731e-05,2.55731e-05,2.55731e-05
72,25.2453,0.6318,0.98869,1.15239,0.82652,0.48333,0.56056,0.24213,1.75784,2.15317,1.44461,2.5102e-05,2.5102e-05,2.5102e-05
73,25.5833,0.56753,0.59625,1.1075,0.82652,0.48333,0.56056,0.24213,1.75784,2.15317,1.44461,2.46073e-05,2.46073e-05,2.46073e-05
74,25.9172,1.0678,1.85217,1.49558,0.82652,0.48333,0.56056,0.24213,1.75784,2.15317,1.44461,2.40891e-05,2.40891e-05,2.40891e-05
75,26.2679,0.97555,0.9002,1.26481,0.79929,0.48333,0.5207,0.24565,1.73534,2.12874,1.41739,2.35472e-05,2.35472e-05,2.35472e-05
76,26.603,0.9813,0.98478,1.38777,0.79929,0.48333,0.5207,0.24565,1.73534,2.12874,1.41739,2.29819e-05,2.29819e-05,2.29819e-05
77,26.9414,0.68609,0.63058,1.05042,0.79929,0.48333,0.5207,0.24565,1.73534,2.12874,1.41739,2.23929e-05,2.23929e-05,2.23929e-05
78,27.2992,0.65569,0.99264,1.11706,0.83455,0.48333,0.54408,0.23582,1.76717,2.15076,1.43726,2.17805e-05,2.17805e-05,2.17805e-05
79,27.6356,0.87695,1.34089,1.33411,0.83455,0.48333,0.54408,0.23582,1.76717,2.15076,1.43726,2.11444e-05,2.11444e-05,2.11444e-05
80,27.9713,0.63088,0.59749,1.11525,0.83455,0.48333,0.54408,0.23582,1.76717,2.15076,1.43726,2.04848e-05,2.04848e-05,2.04848e-05
81,28.328,0.77578,0.8212,1.08574,0.80626,0.48333,0.52023,0.2495,1.69772,2.16826,1.41111,1.98016e-05,1.98016e-05,1.98016e-05
82,28.6651,0.45903,0.45604,0.9442,0.80626,0.48333,0.52023,0.2495,1.69772,2.16826,1.41111,1.90949e-05,1.90949e-05,1.90949e-05
83,29.081,0.68297,0.7306,1.03941,0.80626,0.48333,0.52023,0.2495,1.69772,2.16826,1.41111,1.83646e-05,1.83646e-05,1.83646e-05
84,29.4901,0.76373,1.30932,1.22199,0.833,0.46665,0.52101,0.25366,1.70071,2.18622,1.41576,1.76107e-05,1.76107e-05,1.76107e-05
85,29.8326,0.64836,0.76374,1.18608,0.833,0.46665,0.52101,0.25366,1.70071,2.18622,1.41576,1.68333e-05,1.68333e-05,1.68333e-05
86,30.1687,0.63539,0.84245,1.15516,0.833,0.46665,0.52101,0.25366,1.70071,2.18622,1.41576,1.60323e-05,1.60323e-05,1.60323e-05
87,30.5034,0.6186,0.67654,1.13003,0.833,0.46665,0.52101,0.25366,1.70071,2.18622,1.41576,1.52077e-05,1.52077e-05,1.52077e-05
88,30.8508,0.71461,0.96065,1.10574,0.79492,0.45,0.50556,0.24204,1.70118,2.22746,1.42306,1.43596e-05,1.43596e-05,1.43596e-05
89,31.1866,0.69211,0.72432,1.17703,0.79492,0.45,0.50556,0.24204,1.70118,2.22746,1.42306,1.34879e-05,1.34879e-05,1.34879e-05
90,31.5226,0.78878,0.66717,1.08443,0.79492,0.45,0.50556,0.24204,1.70118,2.22746,1.42306,1.25927e-05,1.25927e-05,1.25927e-05
91,32.2293,0.5689,0.5219,1.05458,0.79492,0.45,0.50556,0.24204,1.70118,2.22746,1.42306,1.16739e-05,1.16739e-05,1.16739e-05
92,32.6324,0.45181,0.48566,0.85074,0.80187,0.47624,0.50485,0.24376,1.71394,2.24123,1.43307,1.07315e-05,1.07315e-05,1.07315e-05
93,32.9763,0.46991,0.49688,0.955,0.80187,0.47624,0.50485,0.24376,1.71394,2.24123,1.43307,9.76562e-06,9.76562e-06,9.76562e-06
94,33.3086,0.5824,0.61921,1.11221,0.80187,0.47624,0.50485,0.24376,1.71394,2.24123,1.43307,8.77613e-06,8.77613e-06,8.77613e-06
95,33.6428,0.56924,0.65724,1.08538,0.80187,0.47624,0.50485,0.24376,1.71394,2.24123,1.43307,7.76308e-06,7.76308e-06,7.76308e-06
96,33.9867,0.82089,0.72693,1.22676,0.83103,0.46588,0.51554,0.24978,1.68954,2.16325,1.39702,6.72648e-06,6.72648e-06,6.72648e-06
97,34.32,0.52637,0.46035,0.90233,0.83103,0.46588,0.51554,0.24978,1.68954,2.16325,1.39702,5.6663e-06,5.6663e-06,5.6663e-06
98,34.6564,0.52608,0.57959,1.00158,0.83103,0.46588,0.51554,0.24978,1.68954,2.16325,1.39702,4.58257e-06,4.58257e-06,4.58257e-06
99,34.9914,0.56838,0.51624,1.00977,0.83103,0.46588,0.51554,0.24978,1.68954,2.16325,1.39702,3.47528e-06,3.47528e-06,3.47528e-06
100,35.3367,0.4601,0.43057,0.94096,0.83221,0.46445,0.52653,0.29152,1.66546,2.01811,1.38933,2.34442e-06,2.34442e-06,2.34442e-06
